epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
0,44,,,0.0,0.00017890083836391568,0.0,0.0
0,44,0.0354052409529686,,,,,
1,49,,0.00022713420912623405,,,,
1,89,,,0.0,0.00015012446965556592,0.0,0.0
1,89,0.0001835183793446049,,,,,
2,99,,0.00015467462071683258,,,,
2,134,,,0.0,0.0001236566313309595,0.0,0.0
2,134,0.00015064443869050592,,,,,
3,149,,0.00011401652591302991,,,,
3,179,,,0.0,0.00011277642624918371,0.0,0.0
3,179,0.0001268809282919392,,,,,
4,199,,0.00011482006084406748,,,,
4,224,,,0.0,9.550323738949373e-05,0.0,0.0
4,224,0.00010976607154589146,,,,,
5,249,,8.101412822725251e-05,,,,
5,269,,,0.0,8.761842764215544e-05,0.0,0.0
5,269,9.387746831635013e-05,,,,,
6,299,,8.513365173712373e-05,,,,
6,314,,,0.0,7.656878005946055e-05,0.0,0.0
6,314,8.099314436549321e-05,,,,,
7,349,,6.319367093965411e-05,,,,
7,359,,,0.0,6.553687126142904e-05,0.0,0.0
7,359,7.174879283411428e-05,,,,,
8,399,,5.259213503450155e-05,,,,
8,404,,,0.0,5.830335430800915e-05,0.0,0.0
8,404,6.27414119662717e-05,,,,,
9,449,,4.5112145016901195e-05,,,,
9,449,,,0.0,5.245849024504423e-05,0.0,0.0
9,449,5.5769920436432585e-05,,,,,
10,494,,,0.0,4.699106648331508e-05,0.0,0.0
10,494,4.9419297283748165e-05,,,,,
11,499,,4.246694879839197e-05,,,,
11,539,,,0.0,4.012295539723709e-05,0.0,0.0
11,539,4.28676103183534e-05,,,,,
12,549,,4.218420872348361e-05,,,,
12,584,,,0.0,3.734550773515366e-05,0.0,0.0
12,584,3.8844482332933694e-05,,,,,
13,599,,3.843651938950643e-05,,,,
13,629,,,0.0,3.357070090714842e-05,0.0,0.0
13,629,3.481768726487644e-05,,,,,
14,649,,3.158988693030551e-05,,,,
14,674,,,0.0,3.135945007670671e-05,0.0,0.0
14,674,3.156406819471158e-05,,,,,
