epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
0,44,,,0.0,0.0006645451067015529,0.0,0.0
0,44,0.04676833003759384,,,,,
1,49,,0.0005174024263396859,,,,
1,89,,,0.0,0.0003401677531655878,0.0,0.0
1,89,0.0004307434428483248,,,,,
2,99,,0.00033174632699228823,,,,
2,134,,,0.0,0.0002752977597992867,0.0,0.0
2,134,0.000315940473228693,,,,,
3,149,,0.00024116021813824773,,,,
3,179,,,0.0,0.00022170922602526844,0.0,0.0
3,179,0.00024469452910125256,,,,,
4,199,,0.00019544592942111194,,,,
4,224,,,0.0,0.00015597448509652168,0.0,0.0
4,224,0.0001920960785355419,,,,,
5,249,,0.00014896281936671585,,,,
5,269,,,0.0,0.0001289756764890626,0.0,0.0
5,269,0.0001500333019066602,,,,,
6,299,,0.00011222901230212301,,,,
6,314,,,0.0,9.495935955783352e-05,0.0,0.0
6,314,0.00011572916264412925,,,,,
7,349,,8.304806397063658e-05,,,,
7,359,,,0.0,7.606042345287278e-05,0.0,0.0
7,359,9.019679418997839e-05,,,,,
8,399,,6.391637725755572e-05,,,,
8,404,,,0.0,5.738362960983068e-05,0.0,0.0
8,404,7.037924660835415e-05,,,,,
9,449,,4.8747911932878196e-05,,,,
9,449,,,0.0,4.616863589035347e-05,0.0,0.0
9,449,5.507526657311246e-05,,,,,
10,494,,,0.0,3.8106474676169455e-05,0.0,0.0
10,494,4.3857577111339197e-05,,,,,
11,499,,3.946492506656796e-05,,,,
11,539,,,0.0,3.065019700443372e-05,0.0,0.0
11,539,3.5339282476343215e-05,,,,,
12,549,,2.9921069653937593e-05,,,,
12,584,,,0.0,2.4946204575826414e-05,0.0,0.0
12,584,2.868149931600783e-05,,,,,
13,599,,2.4154480342986062e-05,,,,
13,629,,,0.0,2.1091862436151132e-05,0.0,0.0
13,629,2.377119926677551e-05,,,,,
14,649,,1.9974801034550183e-05,,,,
14,674,,,0.0,1.7454067346989177e-05,0.0,0.0
14,674,1.9761222574743442e-05,,,,,
15,699,,1.642093775444664e-05,,,,
15,719,,,0.0,1.4883163203194272e-05,0.0,0.0
15,719,1.6738331396481954e-05,,,,,
16,749,,1.4416765225178096e-05,,,,
16,764,,,0.0,1.2552655789477285e-05,0.0,0.0
16,764,1.4284309145295992e-05,,,,,
17,799,,1.1928304957109503e-05,,,,
17,809,,,0.0,1.1116201676486526e-05,0.0,0.0
17,809,1.2314075320318807e-05,,,,,
18,849,,1.0341351298848167e-05,,,,
18,854,,,0.0,9.560537364450283e-06,0.0,0.0
18,854,1.0654105608409736e-05,,,,,
19,899,,8.784194506006315e-06,,,,
19,899,,,0.0,8.827407327771652e-06,0.0,0.0
19,899,9.282057362725027e-06,,,,,
20,944,,,0.0,7.472406650776975e-06,0.0,0.0
20,944,8.202890967368148e-06,,,,,
21,949,,7.539958460256457e-06,,,,
21,989,,,0.0,6.624039997404907e-06,0.0,0.0
21,989,7.256836397573352e-06,,,,,
22,999,,6.459632459154818e-06,,,,
22,1034,,,0.0,5.84322424401762e-06,0.0,0.0
22,1034,6.433306225517299e-06,,,,,
23,1049,,5.6624248827574775e-06,,,,
23,1079,,,0.0,5.219365448283497e-06,0.0,0.0
23,1079,5.751665412390139e-06,,,,,
24,1099,,5.021678589400835e-06,,,,
24,1124,,,0.0,4.851805897487793e-06,0.0,0.0
24,1124,5.206120022194227e-06,,,,,
25,1149,,4.7460080168093555e-06,,,,
25,1169,,,0.0,4.249801349942572e-06,0.0,0.0
25,1169,4.673818239098182e-06,,,,,
26,1199,,4.0978111428557895e-06,,,,
26,1214,,,0.0,4.015358172182459e-06,0.0,0.0
