epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
0,44,,,0.0,0.0044738599099218845,0.0,0.0
0,44,0.06874542683362961,,,,,
1,49,,0.0012782970443367958,,,,
1,89,,,0.0,0.0005466408911161125,0.0,0.0
1,89,0.0009056039270944893,,,,,
2,99,,0.0002546152682043612,,,,
2,134,,,0.0,0.00023457076167687774,0.0,0.0
2,134,0.0003867069026455283,,,,,
3,149,,0.00024390718317590654,,,,
3,179,,,0.0,0.00022640479437541217,0.0,0.0
3,179,0.00022634811466559768,,,,,
4,199,,0.00018092435493599623,,,,
4,224,,,0.0,0.00023841290385462344,0.0,0.0
4,224,0.0001803209015633911,,,,,
5,249,,0.00017356965690851212,,,,
5,269,,,0.0,0.00013891399430576712,0.0,0.0
5,269,0.00014579136040993035,,,,,
6,299,,0.00011912819172721356,,,,
6,314,,,0.0,0.00012928868818562478,0.0,0.0
6,314,0.00011030957830371335,,,,,
7,349,,0.0001048662161338143,,,,
7,359,,,0.0,0.000101768622698728,0.0,0.0
7,359,8.818455535219982e-05,,,,,
8,399,,5.6316952395718545e-05,,,,
8,404,,,0.0,0.00011630570952547714,0.0,0.0
8,404,8.27040639705956e-05,,,,,
9,449,,0.0001266362814931199,,,,
9,449,,,0.0,0.0001672327780397609,0.0,0.0
9,449,0.00018178259779233485,,,,,
10,494,,,0.0,6.85345075908117e-05,0.0,0.0
10,494,9.52544214669615e-05,,,,,
11,499,,7.143878610804677e-05,,,,
11,539,,,0.0,6.637922342633829e-05,0.0,0.0
11,539,5.705326111637987e-05,,,,,
12,549,,6.106068758526817e-05,,,,
12,584,,,0.0,6.38259734841995e-05,0.0,0.0
12,584,4.7895260649966076e-05,,,,,
13,599,,3.532227856339887e-05,,,,
13,629,,,0.0,4.991821333533153e-05,0.0,0.0
13,629,3.765941073652357e-05,,,,,
14,649,,3.0814961064606905e-05,,,,
14,674,,,0.0,4.992224057787098e-05,0.0,0.0
14,674,3.1327017495641485e-05,,,,,
15,699,,2.4355425921385176e-05,,,,
15,719,,,0.0,4.337293648859486e-05,0.0,0.0
15,719,2.7568645236897282e-05,,,,,
16,749,,2.161387055821251e-05,,,,
16,764,,,0.0,3.5178491089027375e-05,0.0,0.0
16,764,2.3382643121294677e-05,,,,,
17,799,,2.9868600904592313e-05,,,,
17,809,,,0.0,4.0738257666816935e-05,0.0,0.0
17,809,2.1751675376435742e-05,,,,,
18,849,,1.708397212496493e-05,,,,
18,854,,,0.0,3.4001910535153e-05,0.0,0.0
18,854,2.0309891624492593e-05,,,,,
19,899,,1.3604632840724662e-05,,,,
19,899,,,0.0,2.8948426916031167e-05,0.0,0.0
19,899,1.7868362192530185e-05,,,,,
20,944,,,0.0,2.7788159059127793e-05,0.0,0.0
20,944,1.688160227786284e-05,,,,,
21,949,,1.2956444152223412e-05,,,,
21,989,,,0.0,3.238974750274792e-05,0.0,0.0
21,989,1.7471404134994373e-05,,,,,
22,999,,1.7583150111022405e-05,,,,
