epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
0,44,,,0.0,8.261148650490213e-06,0.0,0.0
0,44,0.02257077768445015,,,,,
1,49,,9.670797226135619e-06,,,,
1,89,,,0.0,8.17373893369222e-06,0.0,0.0
1,89,9.070283340406604e-06,,,,,
2,99,,8.270102625829168e-06,,,,
2,134,,,0.0,7.492269105568994e-06,0.0,0.0
2,134,7.731183359283023e-06,,,,,
3,149,,6.712948561471421e-06,,,,
3,179,,,0.0,6.3558177316735964e-06,0.0,0.0
3,179,6.97454197506886e-06,,,,,
4,199,,6.437276169890538e-06,,,,
4,224,,,0.0,5.926668109168531e-06,0.0,0.0
4,224,6.32220826446428e-06,,,,,
5,249,,5.714575763704488e-06,,,,
5,269,,,0.0,5.763749868492596e-06,0.0,0.0
5,269,5.769215022155549e-06,,,,,
6,299,,4.596997314365581e-06,,,,
6,314,,,0.0,5.014722773921676e-06,0.0,0.0
6,314,5.273008810036117e-06,,,,,
7,349,,4.649150923796697e-06,,,,
7,359,,,0.0,4.48027140009799e-06,0.0,0.0
7,359,4.812398401554674e-06,,,,,
8,399,,4.1052608139580116e-06,,,,
8,404,,,0.0,4.192183496343205e-06,0.0,0.0
8,404,4.450798769539688e-06,,,,,
9,449,,4.000953140348429e-06,,,,
9,449,,,0.0,4.08290907216724e-06,0.0,0.0
9,449,4.09333824791247e-06,,,,,
10,494,,,0.0,3.7729662381025264e-06,0.0,0.0
10,494,3.8052528452681145e-06,,,,,
11,499,,3.531568836478982e-06,,,,
11,539,,,0.0,3.4371948913758388e-06,0.0,0.0
11,539,3.5259404285170604e-06,,,,,
12,549,,3.308051873318618e-06,,,,
12,584,,,0.0,3.159040943501168e-06,0.0,0.0
12,584,3.2703026136005064e-06,,,,,
13,599,,3.1515905902779195e-06,,,,
13,629,,,0.0,3.1491067602473777e-06,0.0,0.0
13,629,3.0434741802309873e-06,,,,,
14,649,,2.7343592137185624e-06,,,,
14,674,,,0.0,2.892807742682635e-06,0.0,0.0
14,674,2.8451236175897066e-06,,,,,
15,699,,3.047282007173635e-06,,,,
15,719,,,0.0,2.638495061546564e-06,0.0,0.0
15,719,2.656542619661195e-06,,,,,
16,749,,2.369281446590321e-06,,,,
16,764,,,0.0,2.467629201419186e-06,0.0,0.0
16,764,2.490478891559178e-06,,,,,
17,799,,2.3171276097855298e-06,,,,
17,809,,,0.0,2.410011347819818e-06,0.0,0.0
17,809,2.333188831471489e-06,,,,,
18,849,,2.019105068029603e-06,,,,
18,854,,,0.0,2.2411320514947874e-06,0.0,0.0
18,854,2.20089964386716e-06,,,,,
19,899,,2.034006456597126e-06,,,,
19,899,,,0.0,2.07821290132415e-06,0.0,0.0
19,899,2.0744055291288532e-06,,,,,
20,944,,,0.0,1.885491656139493e-06,0.0,0.0
20,944,1.9469182461762102e-06,,,,,
21,949,,1.8775444914354011e-06,,,,
21,989,,,0.0,1.804032194741012e-06,0.0,0.0
21,989,1.8290340904059121e-06,,,,,
22,999,,1.6912803175728186e-06,,,,
22,1034,,,0.0,1.7563486380822724e-06,0.0,0.0
22,1034,1.7273747516810545e-06,,,,,
23,1049,,1.6018734640965704e-06,,,,
23,1079,,,0.0,1.6570077150390716e-06,0.0,0.0
23,1079,1.629523922019871e-06,,,,,
24,1099,,1.5199173049040837e-06,,,,
24,1124,,,0.0,1.601376652615727e-06,0.0,0.0
24,1124,1.535315618639288e-06,,,,,
25,1149,,1.4454114989348454e-06,,,,
25,1169,,,0.0,1.428523432878137e-06,0.0,0.0
25,1169,1.4425972949538846e-06,,,,,
26,1199,,1.356004759145435e-06,,,,
26,1214,,,0.0,1.3271959460325888e-06,0.0,0.0
26,1214,1.3540183090299251e-06,,,,,
27,1249,,1.1846416327898623e-06,,,,
27,1259,,,0.0,1.2437493523975718e-06,0.0,0.0
27,1259,1.2742145827360218e-06,,,,,
28,1299,,1.1622898909990909e-06,,,,
28,1304,,,0.0,1.146395220530394e-06,0.0,0.0
28,1304,1.2056692639816902e-06,,,,,
29,1349,,1.1399381492083194e-06,,,,
29,1349,,,0.0,1.1563294037841843e-06,0.0,0.0
29,1349,1.133481418946758e-06,,,,,
30,1394,,,0.0,1.0430807151351473e-06,0.0,0.0
30,1394,1.0804994872160023e-06,,,,,
31,1399,,1.0281796676281374e-06,,,,
31,1439,,,0.0,1.0391070190962637e-06,0.0,0.0
31,1439,1.0227162192677497e-06,,,,,
32,1449,,9.834761840465944e-07,,,,
32,1484,,,0.0,9.91423462437524e-07,0.0,0.0
