epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8671,1.45758,2.35753,1.43285,0.93486,0.07147,0.3104,0.15039,1.4905,2.89848,1.43118,0.000651852,0.000651852,0.000651852
2,43.8131,1.44346,1.79511,1.43588,0.41741,0.41791,0.32626,0.15092,1.80817,2.22547,1.82593,0.00130547,0.00130547,0.00130547
3,61.6772,1.49549,1.81598,1.49942,0.35858,0.47761,0.28979,0.13128,1.79395,3.04397,1.82778,0.00194588,0.00194588,0.00194588
4,79.2287,1.48445,1.64685,1.43867,0.38317,0.44776,0.34709,0.15306,1.82074,2.58975,1.83581,0.0019406,0.0019406,0.0019406
5,96.379,1.49123,1.60902,1.46536,0.40533,0.38319,0.30644,0.15089,1.93072,2.41691,1.91668,0.0019208,0.0019208,0.0019208
6,113.919,1.45079,1.54895,1.45929,0.57376,0.45771,0.4991,0.27767,1.62779,1.70886,1.61966,0.001901,0.001901,0.001901
7,131.685,1.45282,1.53344,1.46304,0.52672,0.58209,0.51188,0.25908,1.69325,1.71994,1.58941,0.0018812,0.0018812,0.0018812
8,149.335,1.42509,1.40608,1.39573,0.53779,0.55571,0.53778,0.27532,1.68952,1.65698,1.61684,0.0018614,0.0018614,0.0018614
9,166.218,1.38532,1.37632,1.39331,0.61487,0.54726,0.54356,0.27803,1.66305,1.69,1.70446,0.0018416,0.0018416,0.0018416
10,183.811,1.36173,1.32945,1.37443,0.54233,0.52736,0.50111,0.24763,1.70668,1.64506,1.60201,0.0018218,0.0018218,0.0018218
11,201.064,1.39468,1.34043,1.37722,0.64119,0.56716,0.62145,0.34307,1.53807,1.45673,1.51788,0.001802,0.001802,0.001802
12,218.819,1.32667,1.26059,1.34379,0.56242,0.51797,0.48925,0.25973,1.61044,1.69156,1.52327,0.0017822,0.0017822,0.0017822
